Time,R,G,G/R,dG/R,dG/R
ms,AFU,AFU,%,%,%
LineScan-02052019-1234-2683,,,,,filtered
3809.001,1681,1960.167,116.607,10.541,18.231,
3813.568,1577.5,2078.5,131.759,25.693,18.779,
3818.136,1586.333,2134.5,134.556,28.489,17.586,
3822.703,1618.333,1980.5,122.379,16.312,16.029,
3827.27,1553.333,2191.833,141.105,35.039,15.766,
3831.837,1612.167,1800.833,111.703,5.636,13.449,
3836.404,1567.833,1943.167,123.94,17.873,14.365,
3840.971,1568.833,1983.333,126.421,20.354,13.961,
3845.538,1563.333,1866.5,119.392,13.326,13.327,
3850.106,1479.333,1827.167,123.513,17.446,13.516,
3854.673,1604.333,1931.667,120.403,14.336,13.32,
3859.24,1600.5,1798.833,112.392,6.325,13.535,
3863.807,1770.833,1757,99.219,-6.848,14.69,
3868.374,1626.5,1992.833,122.523,16.456,17.312,
3872.941,1608.5,2027,126.018,19.951,17.384,
3877.508,1604.667,2031.667,126.61,20.543,17.079,
3882.076,1545.333,1968.5,127.384,21.317,16.723,
3886.643,1605.667,1866.167,116.224,10.157,16.309,
3891.21,1564.5,1878.333,120.06,13.993,17.139,
3895.777,1541.333,1862.167,120.815,14.749,17.561,
3900.344,1636.5,1871.333,114.35,8.283,17.907,
3904.911,1528.833,2090,136.706,30.639,18.954,
3909.478,1512,1973.333,130.511,24.445,17.554,
3914.046,1489,1866.833,125.375,19.308,16.858,
3918.613,1725,1849.333,107.208,1.141,16.762,
3923.18,1667.667,2152.167,129.053,22.986,18.677,
3927.747,1622.167,1890.333,116.531,10.465,18.214,
3932.314,1591.667,1999.833,125.644,19.577,19.136,
3936.881,1540.833,2086.667,135.425,29.358,19.076,
3941.448,1727.167,1962.167,113.606,7.539,17.986,
3946.016,1670.333,2047.5,122.58,16.514,19.335,
3950.583,1556.667,2182.5,140.203,34.137,19.755,
3955.15,1561.833,1907.833,122.153,16.087,18.329,
3959.717,1539,1734.5,112.703,6.636,18.989,
3964.284,1675.167,2080.333,124.187,18.12,20.789,
3968.851,1487.833,1957,131.534,25.467,21.427,
3973.419,1476.333,1958.667,132.671,26.604,21.364,
3977.986,1560.5,1823.333,116.843,10.776,21.287,
3982.553,1691.5,1910,112.918,6.851,23.035,
3987.12,1635,1843.167,112.732,6.665,25.258,
3991.687,1705.167,2156.5,126.469,20.402,27.486,
3996.254,1486.667,1994.833,134.182,28.115,28.148,
4000.821,1652.833,2130.833,128.92,22.853,27.878,
4005.389,1489.5,2200.167,147.712,41.645,28.08,
4009.956,1565.5,1996.5,127.531,21.465,26.121,
4014.523,1581.333,2244.333,141.927,35.86,26.27,
4019.09,1568,2115.5,134.917,28.85,24.746,
4023.657,1575.167,2155.667,136.853,30.787,23.907,
4028.224,1726.667,2116.333,122.568,16.501,22.791,
4032.791,1596.833,2419.333,151.508,45.442,23.179,
4037.359,1527.5,2086.333,136.585,30.518,20.367,
4041.926,1637.333,2126.667,129.886,23.819,19.202,
4046.493,1599.833,2008.667,125.555,19.488,18.801,
4051.06,1652.5,2065.167,124.972,18.906,18.912,
4055.627,1689.833,2021.5,119.627,13.561,19.118,
4060.194,1711.333,1923.667,112.407,6.341,19.929,
4064.761,1601.5,1915.833,119.627,13.561,21.518,
4069.329,1698.667,2144.167,126.226,20.16,22.278,
4073.896,1607.5,2151.167,133.821,27.754,22.265,
4078.463,1553.333,2239.333,144.163,38.096,21.381,
4083.03,1606.333,2092.333,130.255,24.189,19.359,
4087.597,1708.833,1970.833,115.332,9.265,18.882,
4092.164,1619.167,2177.667,134.493,28.426,20.06,
4096.732,1582.833,2006.833,126.787,20.721,19.165,
4101.299,1610.833,1988.167,123.425,17.358,19.148,
4105.866,1740.167,1906,109.53,3.463,19.534,
4110.433,1726.833,2278.833,131.966,25.899,21.449,
4115,1627.667,2203.833,135.398,29.332,20.903,
4119.567,1669.5,1957.667,117.261,11.194,19.987,
4124.134,1602.5,2018,125.928,19.862,21.056,
4128.702,1636.5,2094,127.956,21.889,21.16,
4133.269,1561.667,1836.5,117.599,11.532,21.018,
4137.836,1492.667,2109.5,141.324,35.258,21.969,
4142.403,1605.833,1951.5,121.526,15.459,20.286,
4146.97,1699.667,2080.833,122.426,16.359,20.737,
4151.537,1597.5,2246.667,140.636,34.57,21.042,
4156.104,1668.833,2158.167,129.322,23.255,19.318,
4160.672,1665.667,2017.167,121.103,15.036,18.814,
4165.239,1541.833,1925.333,124.873,18.806,19.187,
4169.806,1771.167,2180.833,123.13,17.063,19.12,
4174.373,1568.333,1873.167,119.437,13.37,19.211,
4178.94,1471.833,2067,140.437,34.37,19.666,
4183.507,1609.667,2277.333,141.479,35.412,17.797,
4188.074,1651.333,1949.833,118.076,12.01,15.829,
4192.642,1632.5,1965.5,120.398,14.332,16.45,
4197.209,1653.333,1880,113.71,7.643,16.835,
4201.776,1775.667,1949.667,109.799,3.733,17.954,
4206.343,1568.167,1829.333,116.654,10.588,19.477,
4210.91,1564,2200.667,140.708,34.641,20.209,
4215.477,1528.667,2275.5,148.855,42.789,18.291,
4220.045,1689.5,1949.833,115.409,9.342,15.528,
4224.612,1579.667,2016,127.622,21.555,16.506,
4229.179,1684.667,2061,122.339,16.272,16.241,
4233.746,1646.167,2005.333,121.818,15.752,16.659,
4238.313,1704,1837.167,107.815,1.748,17.242,
4242.88,1706.5,2102,123.176,17.109,19.443,
4247.447,1788.833,1855.667,103.736,-2.33,20.025,
4252.015,1582.667,2075.333,131.129,25.062,22.762,
4256.582,1497,2049.5,136.907,30.841,22.503,
4261.149,1672.667,1844.5,110.273,4.206,21.623,
4265.716,1461.167,2100.667,143.766,37.7,23.652,
4270.283,1609.5,1903,118.235,12.169,22.003,
4274.85,1582.5,2019.167,127.593,21.527,23.133,
4279.417,1545,2007.167,129.914,23.847,23.207,
4283.985,1464.5,1933.667,132.036,25.969,22.991,
4288.552,1476.5,1890,128.005,21.939,22.507,
4293.119,1623.167,2033.833,125.3,19.234,22.432,
4297.686,1578.333,2211.167,140.095,34.028,22.615,
4302.253,1552.167,2156.833,138.956,32.89,21.152,
4306.82,1569.167,1910.167,121.731,15.665,19.813,
4311.387,1613,1874.833,116.233,10.166,20.363,
4315.955,1528,2060.5,134.849,28.783,21.498,
4320.522,1697.333,2050,120.778,14.711,20.572,
4325.089,1636.5,2238.5,136.786,30.719,21.16,
4329.656,1682.5,1881.167,111.808,5.741,19.974,
